# Les vingt-quatre termes solaires (二十四节气) : une ligne par terme.
#
# Écrit par `uv run wenlu saisons calendrier` : ne pas éditer à la main.
# Source : instants des termes calculés hors ligne par la bibliothèque
# lunar_python 1.4.8 (MIT, https://github.com/6tail/lunar-python), à l'heure
# de Pékin (UTC+8), comme le calendrier chinois les compte. Contrôlés par les tests
# contre des dates connues : 秋分 2026-09-23, 冬至 2026-12-22, 立春 2027-02-04.
#
# `debut` : le jour où le terme commence ; `heure` : l'instant exact, à Pékin ;
# `fin` : le jour où commence le terme suivant. Un terme court de `debut` à la veille
# de `fin`. La première ligne est le 冬至 de 2025, qui couvre les premiers jours de
# 2026 : chaque jour de 2026 à 2035 a son terme.
#
terme	nom	debut	heure	fin	source
yushui	雨水	2029-02-18	17:07:56	2029-03-05	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2029-03-05	15:17:37	2029-03-20	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2029-03-20	16:01:59	2029-04-04	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2029-04-04	19:58:24	2029-04-20	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2029-04-20	02:55:42	2029-05-05	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2029-05-05	13:07:46	2029-05-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2029-05-21	01:55:52	2029-06-05	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2029-06-05	17:09:58	2029-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2029-06-21	09:48:17	2029-07-07	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2029-07-07	03:22:23	2029-07-22	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2029-07-22	20:42:05	2029-08-07	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2029-08-07	13:11:44	2029-08-23	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2029-08-23	03:51:37	2029-09-07	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2029-09-07	16:11:54	2029-09-23	lunar_python 1.4.8, Lunar.getNextJieQi()
qiufen	秋分	2029-09-23	01:38:31	2029-10-08	lunar_python 1.4.8, Lunar.getNextJieQi()
hanlu	寒露	2029-10-08	07:58:08	2029-10-23	lunar_python 1.4.8, Lunar.getNextJieQi()
shuangjiang	霜降	2029-10-23	11:08:08	2029-11-07	lunar_python 1.4.8, Lunar.getNextJieQi()
lidong	立冬	2029-11-07	11:16:46	2029-11-22	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoxue	小雪	2029-11-22	08:49:24	2029-12-07	lunar_python 1.4.8, Lunar.getNextJieQi()
daxue	大雪	2029-12-07	04:13:48	2029-12-21	lunar_python 1.4.8, Lunar.getNextJieQi()
dongzhi	冬至	2029-12-21	22:14:08	2030-01-05	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaohan	小寒	2030-01-05	15:30:34	2030-01-20	lunar_python 1.4.8, Lunar.getNextJieQi()
dahan	大寒	2030-01-20	08:54:24	2030-02-04	lunar_python 1.4.8, Lunar.getNextJieQi()
lichun	立春	2030-02-04	03:08:28	2030-02-18	lunar_python 1.4.8, Lunar.getNextJieQi()
yushui	雨水	2030-02-18	22:59:57	2030-03-05	lunar_python 1.4.8, Lunar.getNextJieQi()
jingzhe	惊蛰	2030-03-05	21:03:18	2030-03-20	lunar_python 1.4.8, Lunar.getNextJieQi()
chunfen	春分	2030-03-20	21:52:07	2030-04-05	lunar_python 1.4.8, Lunar.getNextJieQi()
qingming	清明	2030-04-05	01:41:01	2030-04-20	lunar_python 1.4.8, Lunar.getNextJieQi()
guyu	谷雨	2030-04-20	08:43:36	2030-05-05	lunar_python 1.4.8, Lunar.getNextJieQi()
lixia	立夏	2030-05-05	18:46:18	2030-05-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoman	小满	2030-05-21	07:41:06	2030-06-05	lunar_python 1.4.8, Lunar.getNextJieQi()
mangzhong	芒种	2030-06-05	22:44:30	2030-06-21	lunar_python 1.4.8, Lunar.getNextJieQi()
xiazhi	夏至	2030-06-21	15:31:18	2030-07-07	lunar_python 1.4.8, Lunar.getNextJieQi()
xiaoshu	小暑	2030-07-07	08:55:29	2030-07-23	lunar_python 1.4.8, Lunar.getNextJieQi()
dashu	大暑	2030-07-23	02:24:53	2030-08-07	lunar_python 1.4.8, Lunar.getNextJieQi()
liqiu	立秋	2030-08-07	18:47:20	2030-08-23	lunar_python 1.4.8, Lunar.getNextJieQi()
chushu	处暑	2030-08-23	09:36:24	2030-09-07	lunar_python 1.4.8, Lunar.getNextJieQi()
bailu	白露	2030-09-07	21:52:50	2030-09-23	lunar_python 1.4.8, Lunar.getNextJieQi()
